Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 СЗАО,Мнёвники,4,3,,«Wellton Gold (Веллтон Голд)»,,апартаменты,4,21,Без отделки,3,74.4,48.5,10.6,,,2022,19 790 400
 СЗАО,Панфиловская,4,3,РГ-Девелопмент,«Октябрьское поле»,Комфорт,квартира,18,25,Чистовая,3,83.0,39.8,14.6,"Панельный, монолитный","Подземная, гостевая",2023,26 726 000
 СЗАО,Хорошёво,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,8,21,Без отделки,4,96.4,64.1,6.2,Монолитный,"Подземная, гостевая",2023,33 509 966
 ЦАО,Электрозаводская,15,2,Level Group,«Level Бауманская»,Бизнес,квартира,3,17,Без отделки,4,95.8,51.6,21.7,Монолитный,Подземная,2025,34 158 025
 СВАО,Бутырская,10,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,18,21,Без отделки,4,80.02,51.4,3.0,Монолитный,Подземная,2024,34 620 000
 САО,Гражданская,10,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,квартира,3,15,Без отделки,3,74.4,49.7,6.6,Монолитный,Подземная,2025,24 849 600
 ЗАО,Фили,10,3,Аеон Девелопмент,«River Park Towers Кутузовский (Ривер Парк Тауэрс Кутузовский)»,Премиум,Студия,3,46,Черновая,,40.5,,,Монолитно-кирпичный,Подземная,2026,25 386 604
 ЮАО,Шаболовская,4,3,СЗ Логос,«Logos (Логос)»,Премиум,апартаменты,3,13,Предчистовая,2,62.7,43.1,5.4,Монолитно-кирпичный,Подземная,2024,28 765 486
 ЦАО,Шелепиха,3,3,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,4,14,Без отделки,3,75.47,39.2,17.6,Монолитно-кирпичный,"Подземная, гостевая",2024,30 565 350
 ЮЗАО,Академическая,1,3,Level Group,«Level Академическая»,Бизнес,квартира,6,19,Без отделки,3,71.0,30.1,21.3,Монолитный,Гостевая,2025,34 213 157
 ЮВАО,Дубровка,3,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,35,69,Без отделки,3,56.4,41.9,4.8,Монолитный,Подземная,2025,16 963 461
 ЮВАО,Угрешская,4,3,Колди (Coldy),«N’ice Loft»,Бизнес,апартаменты,6,21,Без отделки,3,66.59,,,Монолитно-кирпичный,Подземная,2024,22 786 898
 ЮАО,Пролетарская,4,3,TEKTA GROUP,«Era (Эра)»,Премиум,квартира,2,32,Без отделки,3,59.6,,,Монолитный,Подземная,2026,23 851 920
 ЗАО,Кунцевская,5,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,5,9,Неизвестно,4,84.2,48.7,10.0,Монолитный,"Подземная, гостевая",2022,23 997 000
 СЗАО,Панфиловская,4,3,РГ-Девелопмент,«Октябрьское поле»,Комфорт,квартира,18,25,Чистовая,3,79.0,40.5,12.2,"Панельный, монолитный","Подземная, гостевая",2023,25 122 000
 САО,Водный стадион,3,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,18,20,Без отделки,3,85.4,42.6,19.1,Монолитный,Подземная,2024,25 620 000
 ЮЗАО,Воронцовская,6,3,TEKTA GROUP,«Ever (Эвер)»,Бизнес,квартира,30,34,Без отделки,3,77.5,,,Монолитный,"Подземная, гостевая",2025,26 722 000
 ЮАО,Пролетарская,4,3,Компания Пионер,"«HIGH LIFE Летниковская, 11 (Хай Лайф)»",Премиум,квартира,16,24,Неизвестно,1,50.2,,,Монолитный,Подземная,2025,33 159 459
 ЮАО,Пролетарская,4,3,Компания Пионер,"«HIGH LIFE Летниковская, 11 (Хай Лайф)»",Премиум,квартира,16,24,Неизвестно,1,50.2,,,Монолитный,Подземная,2025,33 159 459
 НАО (Новомосковский),Ольховая,10,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,7,9,Без отделки,4,86.6,73.3,,Монолитный,"Подземная, гостевая",2025,17 172 780
 ВАО,Преображенская площадь,6,3,,«Апартаменты Берег Яузы»,,апартаменты,3,4,Чистовая,3,86.2,,,,,2022,23 274 000
 ЗАО,Мичуринский проспект,4,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,16,27,Неизвестно,2,77.0,,,Монолитный,"Подземная, гостевая",2022,25 800 000
 ЮАО,Коломенская,4,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,3,19,Без отделки,4,82.8,19.2,9.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,29 667 654
 ЗАО,Мичуринский проспект,14,2,ДОНСТРОЙ,«Событие»,Бизнес,квартира,3,48,Без отделки,2,69.0,27.8,19.6,Монолитный,"Подземная, гостевая",2025,29 623 080
 ЮЗАО,Академическая,4,3,TEKTA GROUP,«Eniteo (Энитео)»,Бизнес,квартира,23,42,Без отделки,3,66.5,,,Монолитный,"Подземная, гостевая",2023,30 616 600
 СЗАО,Зорге,4,3,Концерн КРОСТ,«Театральный квартал»,Премиум,квартира,5,19,Без отделки,3,82.9,43.6,14.8,Монолитный,"Подземная, гостевая",2024,32 911 300
 СВАО,Балтийская,14,2,ГК Основа,«VERY (Вери)»,Бизнес,квартира,7,31,Черновая,4,90.94,71.6,14.4,Монолитно-кирпичный,"Подземная, гостевая",2024,33 920 620
 ЗАО,,,0,Sezar Group,«Клубный дом Full House»,Бизнес,квартира,2,25,Без отделки,2,79.5,42.3,17.3,Монолитно-кирпичный,"Подземная, гостевая",2024,34 344 000
