Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 ЮЗАО,Новые Черёмушки,4,2,Ташир,«ONYX Deluxe (ОНИКС Делюкс)»,Премиум,квартира,28,32,С отделкой,2,45.2,,,Монолитный,"Подземная, гостевая",2021,27 572 000
 САО,Красный Балтиец,4,3,,«SOUL (Соул)»,,квартира,11,20,Предчистовая,2,68.7,23.9,23.2,,,2025,27 730 823
 СЗАО,Стрешнево,11,2,Мангазея,«Интонация»,Бизнес,квартира,10,21,Без отделки,2,66.8,30.0,15.3,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,28 092 072
 ЗАО,Воробьёвы горы,4,3,MR Group,«Hide («Хайд»)»,Премиум,квартира,2,41,Предчистовая,1,48.3,31.3,,Монолитно-кирпичный,"Подземная, гостевая",2023,27 886 488
 СЗАО,Полежаевская,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,2,9,Без отделки,3,88.9,45.9,17.8,Монолитный,"Подземная, гостевая",2023,28 119 515
 ЮАО,Коломенская,4,3,TEKTA GROUP,«Квартал на набережной NOW»,Бизнес,квартира,4,20,Без отделки,3,62.4,,,Монолитно-кирпичный,"Подземная, гостевая",2023,28 304 640
 СЗАО,Карамышевская,2,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,5,28,Без отделки,3,90.2,,17.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,28 232 600
 ЮАО,Серпуховская,16,3,MR Group,«Павелецкая сити»,Бизнес,квартира,5,27,Предчистовая,2,63.0,21.2,27.5,Монолитный,"Подземная, гостевая",2024,28 352 590
 СЗАО,Мнёвники,4,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,2,22,Без отделки,2,58.1,26.8,12.4,Монолитный,"Подземная, гостевая",2025,28 532 910
 САО,Ховрино,4,3,Wainbridge,«Aquatoria (Акватория)»,Бизнес,квартира,15,20,Чистовая,2,56.69,,,Монолитно-кирпичный,"Подземная, гостевая",2023,28 400 000
 САО,Полежаевская,4,3,Sezar Group,«Династия»,Бизнес,квартира,18,24,Без отделки,1,54.9,15.6,21.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,28 712 700
 СЗАО,Стрешнево,11,2,Мангазея,«Интонация»,Бизнес,квартира,5,21,Без отделки,2,74.0,31.5,14.3,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,29 019 840
 ЮЗАО,Воронцовская,6,3,TEKTA GROUP,«Ever (Эвер)»,Бизнес,квартира,6,34,Предчистовая,3,64.9,,,Монолитный,"Подземная, гостевая",2023,29 211 490
 СЗАО,Мнёвники,4,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,3,22,Без отделки,2,56.2,26.5,12.4,Монолитный,"Подземная, гостевая",2025,29 077 880
 СЗАО,Полежаевская,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,18,21,Без отделки,3,82.3,46.6,17.6,Монолитный,"Подземная, гостевая",2023,29 049 945
 ЮВАО,Дубровка,4,3,MR Group,«Метрополия»,Бизнес,квартира,15,30,Предчистовая,3,82.3,41.1,22.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2022,29 377 780
 СЗАО,Карамышевская,2,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,11,28,Без отделки,3,91.4,,17.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,29 613 600
 СЗАО,Полежаевская,4,3,ГК ФСК,«Sydney City (Сидней Сити)»,Бизнес,квартира,15,24,Предчистовая,2,52.7,29.8,11.9,"Монолитно-кирпичный, монолитный","Подземная, отдельная многоуровневая, гостевая",2023,30 207 640
 САО,Ховрино,6,3,,«Фестиваль парк-2»,,апартаменты,16,35,Предчистовая,2,69.4,42.8,6.2,,,2023,30 200 173
 СЗАО,Тестовская,4,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,3,6,Без отделки,3,84.2,29.8,32.9,"Монолитно-кирпичный, монолитный",Подземная,2023,30 275 679
 СЗАО,Стрешнево,11,2,Мангазея,«Интонация»,Бизнес,квартира,10,21,Без отделки,2,73.3,32.6,16.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,30 636 468
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,4,22,Без отделки,3,73.0,,,Монолитный,Подземная,2025,30 707 815
 ЦАО,Краснопресненская,3,3,Forma,«Republic (Репаблик)»,Премиум,квартира,21,33,Без отделки,2,46.58,23.6,3.8,Монолитный,"Подземная, гостевая",2025,30 979 938
 СЗАО,Хорошёвская,3,3,ДОНСТРОЙ,«Сердце Столицы»,Бизнес,квартира,39,41,Без отделки,2,65.8,26.2,15.9,"Монолитно-кирпичный, монолитный, кирпичный","Подземная, гостевая",2024,31 039 505
 ЦАО,Шелепиха,13,2,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,14,51,Без отделки,3,78.03,,,Монолитно-кирпичный,"Подземная, гостевая",2023,30 821 850
 СВАО,Бабушкинская,5,3,ГК ФСК,«The Lake (Лейк)»,Бизнес,квартира,4,16,Предчистовая,2,67.9,24.2,,Монолитно-кирпичный,"Подземная, гостевая",2025,31 315 480
 СВАО,Рижская,15,2,MR Group,«Mod (Мод)»,Премиум,квартира,19,55,Предчистовая,3,87.02,,,Монолитно-кирпичный,"Подземная, гостевая",2024,32 110 380
 СЗАО,Хорошёвская,3,3,ДОНСТРОЙ,«Сердце Столицы»,Бизнес,квартира,40,41,Без отделки,2,68.2,28.8,16.0,"Монолитно-кирпичный, монолитный, кирпичный","Подземная, гостевая",2024,32 021 605
 ЮАО,Шаболовская,4,3,СЗ Логос,«Logos (Логос)»,Премиум,апартаменты,4,13,Предчистовая,2,65.7,44.2,5.4,Монолитно-кирпичный,Подземная,2024,32 507 836
 СВАО,Марьина роща,8,2,MR Group,«Mod (Мод)»,Премиум,квартира,33,55,Предчистовая,3,85.92,,,Монолитно-кирпичный,"Подземная, гостевая",2024,32 549 417
 СЗАО,Стрешнево,9,2,Forma,«Moments»,Бизнес,квартира,27,30,Предчистовая,3,82.28,38.8,24.0,Монолитный,"Подземная, гостевая",2025,32 412 724
 ЗАО,Раменки,3,3,Level Group,«Level Мичуринский»,Бизнес,квартира,23,41,Без отделки,4,94.6,44.8,30.6,Монолитный,"Подземная, гостевая",2025,32 882 979
 СЗАО,Стрешнево,9,2,Forma,«Moments»,Бизнес,квартира,15,30,Предчистовая,3,89.51,43.8,22.8,Монолитный,"Подземная, гостевая",2025,32 688 156
 ЗАО,Мичуринский проспект,4,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,25,27,Неизвестно,3,79.6,,,Монолитный,"Подземная, гостевая",2022,32 720 000
 САО,Полежаевская,4,3,Sezar Group,«Династия»,Бизнес,квартира,15,24,Без отделки,2,65.6,33.3,13.7,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,33 128 000
 СВАО,Рижская,3,3,СИТИ21,«Hill8 (Хилл8)»,Премиум,апартаменты,15,15,Неизвестно,2,62.8,,,Монолитный,"Подземная, гостевая",2021,33 204 411
 САО,Беговая,7,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,24,25,Чистовая,3,85.8,,,Панельный,Подземная,2022,33 033 000
 ЮАО,Автозаводская,4,3,Forma,«FORST (Форст)»,Бизнес,квартира,10,20,Без отделки,2,74.32,,,Монолитно-кирпичный,"Подземная, гостевая",2024,33 157 050
 СЗАО,Карамышевская,2,3,ГК ФСК,«Sydney City (Сидней Сити)»,Бизнес,квартира,12,20,Без отделки,3,83.0,44.3,14.3,"Монолитно-кирпичный, монолитный","Подземная, отдельная многоуровневая, гостевая",2024,33 468 920
 САО,Селигерская,10,3,MR Group,«Селигер Сити»,Бизнес,квартира,34,43,Предчистовая,3,82.5,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,33 588 850
 СЗАО,Стрешнево,11,2,Мангазея,«Интонация»,Бизнес,квартира,2,21,Без отделки,3,99.0,56.0,14.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,34 141 140
 ЮАО,Борисово,6,3,Группа ЛСР,«WAVE (Вейв)»,Бизнес,квартира,44,52,Неизвестно,3,85.3,41.2,29.0,Монолитный,Подземная,2026,33 967 313
 ЦАО,Краснопресненская,3,3,Forma,«Republic (Репаблик)»,Премиум,квартира,4,33,Без отделки,2,58.53,28.4,4.3,Монолитный,"Подземная, гостевая",2025,34 547 683
 СЗАО,Терехово,1,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,6,22,Без отделки,3,70.1,25.2,23.6,Монолитный,"Подземная, гостевая",2025,34 860 730
 ЮЗАО,Академическая,1,3,Level Group,«Level Академическая»,Бизнес,квартира,6,19,Без отделки,3,66.7,28.5,24.6,Монолитный,Гостевая,2025,34 751 347
 ЮАО,Автозаводская,4,3,Forma,«FORST (Форст)»,Бизнес,квартира,3,20,Без отделки,1,38.77,,,Монолитно-кирпичный,"Подземная, гостевая",2024,16 121 806
 СЗАО,Спартак,5,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,7,18,Черновая,1,37.81,,,Монолитно-кирпичный,"Подземная, гостевая",2023,16 730 925
 ЮАО,Автозаводская,5,3,Forma,«FORST (Форст)»,Бизнес,квартира,19,20,Без отделки,2,57.07,,,Монолитно-кирпичный,"Подземная, гостевая",2024,22 714 716
 СЗАО,Трикотажная,4,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,7,26,Черновая,2,72.0,,,Монолитно-кирпичный,"Подземная, гостевая",2023,26 330 500
 ЮАО,Автозаводская,2,3,Forma,«FORST (Форст)»,Бизнес,квартира,2,20,Без отделки,2,67.45,,,Монолитно-кирпичный,"Подземная, гостевая",2024,27 256 545
 СЗАО,Трикотажная,5,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2,12,Черновая,3,111.86,,,Монолитно-кирпичный,"Подземная, гостевая",2023,32 149 500
 ЮАО,Автозаводская,5,3,Forma,«FORST (Форст)»,Бизнес,квартира,8,20,Без отделки,3,90.8,,,Монолитно-кирпичный,"Подземная, гостевая",2024,32 259 514
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5,3,ПИК,«Бунинские луга»,Комфорт,квартира,17,17,Чистовая,2,40.1,24.8,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,9 922 745
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,10,20,Без отделки,1,33.6,10.8,,"Панельный, монолитный",Гостевая,2024,8 114 319
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,20,20,Без отделки,1,37.8,9.4,,"Панельный, монолитный",Гостевая,2024,8 184 411
 СВАО,Алтуфьево,5,3,ПИК,«Полар»,Комфорт,квартира,3,32,Чистовая,2,35.3,21.2,5.1,Монолитный,"Подземная, гостевая",2025,8 781 333
 НАО (Новомосковский),Рассказовка,7,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,14,20,Без отделки,1,48.5,12.6,,"Панельный, монолитный",Гостевая,2024,9 604 463
 САО,Водный стадион,3,3,РГ-Девелопмент,«Михалковский»,Комфорт,Студия,12,18,Без отделки,,25.5,17.5,,Монолитный,Подземная,2023,9 562 500
 ЮАО,Красный Строитель,5,3,ПИК,«Ютаново»,Комфорт,квартира,2,33,Чистовая,2,42.34,27.8,5.5,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,9 694 462
 ЗАО,Юго-Западная,4,3,ПИК,«Мичуринский парк»,Комфорт,квартира,9,21,Предчистовая,1,34.7,16.0,11.0,Монолитный,"Подземная, гостевая",2024,10 713 867
 ВАО,Измайлово,4,3,ПИК,«Амурский парк»,Комфорт,квартира,2,33,Чистовая,2,46.1,21.7,15.3,Монолитный,"Подземная, гостевая",2025,12 203 638
 СЗАО,Спартак,5,3,ГК ФСК,«Движение.Тушино»,Комфорт,апартаменты,4,22,Чистовая,3,46.1,36.8,3.6,Монолитный,"Подземная, гостевая",2022,12 522 468
,,,0,,,,,,,,,,,,,,,
 ЮАО,Красный Строитель,5,3,ПИК,«Ютаново»,Комфорт,квартира,10,20,Чистовая,2,53.69,24.0,17.7,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,12 710 785
 СЗАО,Карамышевская,2,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,4,28,Без отделки,1,36.3,,13.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025,13 104 300
 ЮВАО,Марьино,3,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,14,25,Чистовая,3,73.7,46.5,6.3,Монолитный,Гостевая,2024,13 605 020
 СВАО,Ботанический сад,2,3,ПИК,«Green park (Грин парк)»,Бизнес,квартира,13,14,Чистовая,1,39.26,11.0,18.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2023,14 894 746
 ВАО,Измайлово,4,3,ПИК,«Амурский парк»,Комфорт,квартира,5,28,Чистовая,2,58.4,22.9,21.5,Монолитный,"Подземная, гостевая",2025,15 029 123
 СЗАО,Стрешнево,11,2,СЗ ПРОГРЕСС,«Комплекс апартаментов B’aires (Байрес)»,Бизнес,апартаменты,12,22,Без отделки,3,49.53,41.5,3.1,Монолитный,Подземная,2022,15 089 443
 САО,Полежаевская,2,3,ГК ФСК,«Рихард»,Бизнес,квартира,2,12,Без отделки,1,37.4,14.4,12.7,Монолитный,"Подземная, гостевая",2022,15 546 432
 ЮАО,Лесопарковая,6,3,Э.К. Девелопмент,«Зеленая Вертикаль»,Комфорт,квартира,22,26,Предчистовая,2,59.3,,,Панельный,Отдельная многоуровневая,2023,15 951 700
 ЮВАО,Братиславская,2,3,ПИК,«Люблинский парк»,Комфорт,квартира,16,17,Чистовая,3,73.3,37.0,22.8,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025,15 961 514
 САО,Полежаевская,2,3,ГК ФСК,«Рихард»,Бизнес,квартира,2,8,Без отделки,1,37.7,16.2,9.4,Монолитный,"Подземная, гостевая",2022,16 778 762
 ЦАО,Шелепиха,6,2,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,15,32,Без отделки,1,29.93,,,Монолитно-кирпичный,"Подземная, гостевая",2019,17 500 000
 ЮВАО,Дубровка,4,3,MR Group,«Метрополия»,Бизнес,квартира,30,30,Предчистовая,2,61.9,24.0,23.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,19 273 976
 САО,Зорге,13,3,St Michael,«Зорге 9»,Бизнес,апартаменты,18,21,Черновая,1,37.75,11.9,15.7,Монолитно-кирпичный,"Подземная, гостевая",2023,19 716 320
 ЗАО,Спартак,5,3,СЗ Универсаль,«Клубный дом Рублево»,Премиум,апартаменты,9,9,Без отделки,3,64.7,41.3,18.4,Монолитный,Подземная,2023,19 814 375
 СЗАО,Трикотажная,6,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,23,25,Черновая,1,43.07,,,Монолитно-кирпичный,"Подземная, гостевая",2023,19 868 191
 САО,Зорге,13,3,St Michael,«Зорге 9»,Бизнес,апартаменты,19,21,Черновая,1,37.13,11.5,17.4,Монолитно-кирпичный,"Подземная, гостевая",2023,20 069 680
 ЦАО,Шелепиха,5,3,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,23,41,Без отделки,1,40.99,,,Монолитно-кирпичный,"Подземная, гостевая",2024,20 044 110
,,,0,,,,,,,,,,,,,,,
 ЗАО,Рабочий посёлок,5,3,ПИК,«Академика Павлова»,Комфорт,квартира,2,33,Чистовая,3,62.7,34.4,12.3,Монолитный,Подземная,2024,23 942 913
 СЗАО,Сходненская,3,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,18,43,Чистовая,3,87.2,51.2,10.3,Монолитный,"Подземная, гостевая",2025,24 119 302
 ЦАО,Октябрьская,1,3,GRAVION,«CULT (Апартаменты премиум-класса) (Культ)»,Премиум,Апартаменты-студия,2,9,Чистовая,,26.86,,,Монолитно-кирпичный,Подземная,2023,27 988 121
 ЗАО,Рабочий посёлок,5,3,ПИК,«Академика Павлова»,Комфорт,квартира,3,33,Чистовая,3,78.5,34.5,27.1,Монолитный,Подземная,2024,29 557 629
 ЗАО,Рабочий посёлок,5,3,ПИК,«Академика Павлова»,Комфорт,квартира,14,33,Чистовая,3,89.3,41.1,31.5,Монолитный,Подземная,2024,31 196 620
 САО,Полежаевская,2,3,ГК ФСК,«Рихард»,Бизнес,квартира,26,26,Без отделки,3,92.9,29.9,22.1,Монолитный,"Подземная, гостевая",2022,34 882 092
 НАО (Новомосковский),Филатов Луг,5,3,ПИК,«Саларьево парк»,Комфорт,Студия,13,14,Чистовая,,23.7,11.6,6.0,Монолитный,"Подземная, гостевая",2025,6 913 005
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5,3,ПИК,«Бунинские луга»,Комфорт,квартира,15,17,Чистовая,2,32.5,19.8,5.6,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,8 462 285
,,,0,,,,,,,,,,,,,,,
 НАО (Новомосковский),Бунинская аллея,5,3,ПИК,«Бунинские луга»,Комфорт,квартира,6,17,Чистовая,3,79.0,40.8,23.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,16 668 131
 САО,Лианозово,5,3,ПИК,«Бусиновский парк»,Комфорт,квартира,31,33,Чистовая,1,32.6,9.4,16.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,8 440 530
 НАО (Новомосковский),Ольховая,17,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,Студия,4,13,Без отделки,,24.9,14.9,3.4,Монолитно-кирпичный,"Подземная, гостевая",2023,8 815 400
 САО,Бескудниково,6,3,ПИК,«Бусиновский парк»,Комфорт,квартира,27,33,Чистовая,1,36.5,11.2,17.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,9 355 679
 НАО (Новомосковский),Ольховая,17,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,квартира,12,13,Без отделки,2,37.94,17.7,6.1,Монолитно-кирпичный,"Подземная, гостевая",2023,11 695 820
 ЮАО,Автозаводская,4,3,Forma,«FORST (Форст)»,Бизнес,Студия,4,20,Без отделки,,27.73,,,Монолитно-кирпичный,"Подземная, гостевая",2024,12 928 114
 ЮВАО,Волгоградский проспект,4,3,MR Group,«Метрополия»,Бизнес,апартаменты,4,30,Предчистовая,2,53.3,24.5,17.7,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,13 388 831
 ЮЗАО,Академическая,1,3,Level Group,«Level Академическая»,Бизнес,Студия,15,19,Без отделки,,17.9,9.7,1.9,Монолитный,Гостевая,2025,13 596 306
 НАО (Новомосковский),Филатов Луг,5,3,А101,«Прокшино»,Бизнес,квартира,7,16,Без отделки,4,64.3,33.5,17.8,Монолитный,"Подземная, гостевая",2024,13 788 203
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5,3,ПИК,«Бунинские луга»,Комфорт,квартира,4,9,Чистовая,2,57.3,24.0,21.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,14 404 589
 ЮАО,Серпуховская,16,3,MR Group,«Павелецкая сити»,Бизнес,Студия,18,27,Предчистовая,,23.7,3.4,15.3,Монолитный,"Подземная, гостевая",2024,14 587 232
 СЗАО,Полежаевская,3,3,ГК МИЦ,«Вереск»,Бизнес,квартира,2,21,Без отделки,1,43.2,14.4,16.3,Монолитный,"Подземная, гостевая",2023,14 852 970
 НАО (Новомосковский),Саларьево,6,3,А101,«Испанские кварталы»,Комфорт,квартира,2,9,Чистовая,4,65.6,31.6,21.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023,15 576 580
 НАО (Новомосковский),Ольховая,17,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,квартира,3,13,Без отделки,2,63.19,34.4,14.6,Монолитно-кирпичный,"Подземная, гостевая",2023,15 744 740
 ЦАО,Электрозаводская,15,2,Level Group,«Level Бауманская»,Бизнес,квартира,3,17,Без отделки,1,36.1,16.8,9.8,Монолитный,Подземная,2025,16 165 671
 ЦАО,Электрозаводская,15,2,Level Group,«Level Бауманская»,Бизнес,квартира,3,17,Без отделки,2,39.8,12.0,18.0,Монолитный,Подземная,2025,17 981 763
 ЮЗАО,Новоясеневская,5,3,,«LES (Лес)»,,апартаменты,4,14,Предчистовая,2,69.26,,,,,2023,18 350 000
 ЮАО,Серпуховская,16,3,MR Group,«Павелецкая сити»,Бизнес,квартира,2,27,Предчистовая,1,39.4,12.0,15.1,Монолитный,"Подземная, гостевая",2024,20 045 815
 ЗАО,Мичуринский проспект,4,3,ПИК,«Матвеевский парк»,Комфорт,квартира,26,34,Чистовая,4,73.8,51.2,6.9,Монолитный,"Подземная, гостевая",2024,20 227 137
,,,0,,,,,,,,,,,,,,,
 САО,Зорге,13,3,St Michael,«Зорге 9»,Бизнес,апартаменты,7,21,Черновая,3,68.49,34.7,15.7,Монолитно-кирпичный,"Подземная, гостевая",2023,24 143 280
,,,0,,,,,,,,,,,,,,,
 САО,Зорге,13,3,ГК ФСК,«Рихард»,Бизнес,квартира,14,27,Без отделки,3,66.4,41.9,8.7,Монолитный,"Подземная, гостевая",2022,27 871 002
,,,0,,,,,,,,,,,,,,,
 ЮЗАО,Воронцовская,6,3,TEKTA GROUP,«Ever (Эвер)»,Бизнес,квартира,25,34,Предчистовая,3,70.3,,,Монолитный,"Подземная, гостевая",2023,31 114 780
 ЗАО,Мичуринский проспект,4,2,ПИК,«Большая Очаковская 2»,Комфорт,квартира,31,32,Чистовая,4,108.2,56.9,21.8,Монолитный,"Подземная, гостевая",2022,31 742 442
 ЦАО,Павелецкая,4,3,ГК МИЦ,«Сити-комплекс Амарант»,Бизнес,апартаменты,6,10,Без отделки,2,71.1,30.0,,Монолитно-кирпичный,"Подземная, гостевая",2023,32 386 917
 САО,Полежаевская,2,3,ГК ФСК,«Рихард»,Бизнес,квартира,16,26,Без отделки,3,74.7,43.1,12.9,Монолитный,"Подземная, гостевая",2022,33 264 396
 НАО (Новомосковский),Филатов Луг,13,3,ПИК,«Середневский лес»,Комфорт,Студия,3,9,Чистовая,,27.43,13.2,7.1,Панельный,Гостевая,2025,5 792 969
 САО,Окружная,12,3,ПИК,«Большая Академическая 85»,Комфорт,Студия,20,21,Чистовая,,23.3,11.1,6.0,Панельный,"Отдельная многоуровневая, гостевая",2023,8 725 850
 САО,Бескудниково,6,3,ПИК,«Бусиновский парк»,Комфорт,квартира,33,33,Чистовая,1,32.6,9.5,16.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024,8 753 490
 СВАО,Отрадное,6,3,ПИК,«Алтуфьевское 53»,Комфорт,квартира,27,33,Чистовая,2,34.4,21.0,5.2,Монолитный,"Подземная, гостевая",2025,8 932 682
 ВАО,Бульвар Рокоссовского,3,3,ПИК,«Открытый парк»,Комфорт,квартира,4,33,Чистовая,2,46.2,21.7,15.2,Монолитный,"Отдельная многоуровневая, гостевая",2024,11 488 184
 ЮАО,Царицыно,3,3,ПИК,«Кавказский бульвар 51»,Комфорт,квартира,8,33,Чистовая,3,72.3,32.7,26.5,Монолитный,"Подземная, отдельная многоуровневая",2025,15 095 743
 ВАО,Бульвар Рокоссовского,3,3,,«SELF (Сэлф)»,,квартира,2,19,Без отделки,2,54.7,,,,,2024,16 626 410
,,,0,,,,,,,,,,,,,,,
 ЗАО,Мичуринский проспект,4,3,ПИК,«Матвеевский парк»,Комфорт,квартира,19,34,Чистовая,4,73.72,50.8,7.3,Монолитный,"Подземная, гостевая",2024,20 373 175
 САО,Хорошёво,3,3,ГК МИЦ,«Сити-комплекс Мята»,Бизнес,апартаменты,12,22,Без отделки,3,72.7,39.2,13.4,Монолитный,"Подземная, гостевая",2023,20 555 925
 САО,Окружная,12,3,ПИК,«Большая Академическая 85»,Комфорт,квартира,17,21,Чистовая,3,71.5,36.3,20.8,Панельный,"Отдельная многоуровневая, гостевая",2023,20 756 450
 САО,Беговая,13,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,16,25,Чистовая,2,57.8,,,Панельный,Подземная,2022,24 536 100
 ЗАО,Фили,3,3,ПИК,«Западный порт»,Бизнес,квартира,2,20,Без отделки,3,69.1,41.0,11.7,"Панельный, монолитный","Подземная, гостевая",2021,24 924 916
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
 ЗАО,Мичуринский проспект,4,2,ПИК,«Vangarden (Вангарден)»,Бизнес,квартира,7,21,Предчистовая,4,80.62,51.5,6.0,Монолитный,"Подземная, гостевая",2024,26 055 967
 ЮВАО,Нижегородская,12,2,ПИК,«Перовское 2»,Комфорт,Студия,2,33,Чистовая,,23.58,11.6,5.9,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024,7 185 226
 ЮВАО,Нижегородская,4,3,ПИК,«Новохохловская 15»,Комфорт,Студия,14,33,Чистовая,,20.0,9.8,5.1,Монолитный,"Подземная, гостевая",2023,7 593 180
 НАО (Новомосковский),Бунинская аллея,5,3,,«Бунинские кварталы»,,квартира,2,8,Без отделки,2,40.4,13.6,16.6,,,2024,8 810 266
 СВАО,Алтуфьево,6,3,ПИК,«Полар»,Комфорт,квартира,23,32,Чистовая,1,35.1,11.4,16.3,Монолитный,"Подземная, гостевая",2025,9 146 358
,,,0,,,,,,,,,,,,,,,
 СВАО,Бабушкинская,5,3,ПИК,«Кольская 8»,Комфорт,квартира,2,24,Чистовая,3,49.2,32.3,6.0,"Панельный, монолитный","Подземная, гостевая",2025,15 051 706
 ЮВАО,Лефортово,13,2,ПИК,«Красноказарменная 15»,Комфорт,квартира,3,26,Предчистовая,1,39.3,12.3,19.1,Монолитный,"Подземная, гостевая",2023,15 841 476
 ЗАО,Кунцевская,5,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,12,29,Неизвестно,1,42.6,13.3,12.1,Монолитный,"Подземная, гостевая",2022,16 699 200
 ЗАО,Кунцевская,10,3,Велесстрой,«Shome (По ул. Кастанаевская 66)»,Бизнес,квартира,4,24,Предчистовая,1,37.6,24.1,,Монолитный,Подземная,2021,17 089 200
 ЗАО,Солнцево,4,3,ПИК,«Мещерский лес»,Комфорт,квартира,1,21,Чистовая,2,48.9,22.4,16.4,"Панельный, кирпичный","Подземная, отдельная многоуровневая",2022,17 819 160
 СВАО,Бабушкинская,5,3,ГК ФСК,«The Lake (Лейк)»,Бизнес,квартира,8,16,Предчистовая,1,46.2,11.4,,Монолитно-кирпичный,"Подземная, гостевая",2025,21 353 640
 САО,Гражданская,10,3,РГ-Девелопмент,«Петровский парк II»,Бизнес,квартира,4,19,Без отделки,3,62.8,38.2,3.7,Монолитный,Подземная,2025,21 980 000
 ЗАО,Фили,5,3,ПИК,«Западный порт»,Бизнес,квартира,19,20,Предчистовая,2,37.5,22.8,5.1,"Панельный, монолитный","Подземная, гостевая",2022,22 564 690
,,,0,,,,,,,,,,,,,,,
 ЗАО,Багратионовская,8,3,ПИК,«Барклая 6»,Бизнес,квартира,16,32,Предчистовая,3,85.4,35.6,23.8,Монолитный,"Подземная, гостевая",2025,25 637 983
 ЗАО,Фили,8,3,ПИК,«Барклая 6»,Бизнес,квартира,18,32,Предчистовая,3,85.4,35.6,23.8,Монолитный,"Подземная, гостевая",2025,28 593 378
