Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 ЦАО,Шелепиха,6.0,3,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,45.0,51.0,Без отделки,2.0,46.78,16.4,20.5,Монолитно-кирпичный,"Подземная, гостевая",2024.0,27740540,593000.0
 ЮЗАО,Новые Черёмушки,4.0,2,Ташир,«ONYX Deluxe (ОНИКС Делюкс)»,Премиум,квартира,28.0,32.0,С отделкой,2.0,45.2,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2021.0,27572000,610000.0
 САО,Красный Балтиец,4.0,3,,«SOUL (Соул)»,,квартира,11.0,20.0,Предчистовая,2.0,68.7,23.9,23.2,,,2025.0,27730823,403650.9898107714
 СЗАО,Стрешнево,11.0,2,Мангазея,«Интонация»,Бизнес,квартира,10.0,21.0,Без отделки,2.0,66.8,30.0,15.3,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,28092072,420540.0
 ЗАО,Воробьёвы горы,4.0,3,MR Group,«Hide («Хайд»)»,Премиум,квартира,2.0,41.0,Предчистовая,1.0,48.3,31.3,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,27886488,577360.0
 СЗАО,Полежаевская,3.0,3,ГК МИЦ,«Вереск»,Бизнес,квартира,2.0,9.0,Без отделки,3.0,88.9,45.9,17.8,Монолитный,"Подземная, гостевая",2023.0,28119515,316305.00562429696
 ЮАО,Коломенская,4.0,3,TEKTA GROUP,«Квартал на набережной NOW»,Бизнес,квартира,4.0,20.0,Без отделки,3.0,62.4,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,28304640,453600.0
 СЗАО,Карамышевская,2.0,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,5.0,28.0,Без отделки,3.0,90.2,20.333629300776895,17.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,28232600,313000.0
 ЮАО,Серпуховская,16.0,3,MR Group,«Павелецкая сити»,Бизнес,квартира,5.0,27.0,Предчистовая,2.0,63.0,21.2,27.5,Монолитный,"Подземная, гостевая",2024.0,28352590,450041.1111111111
 СЗАО,Мнёвники,4.0,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,2.0,22.0,Без отделки,2.0,58.1,26.8,12.4,Монолитный,"Подземная, гостевая",2025.0,28532910,491100.0
 САО,Ховрино,4.0,3,Wainbridge,«Aquatoria (Акватория)»,Бизнес,квартира,15.0,20.0,Чистовая,2.0,56.69,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,28400000,500970.1887458106
 САО,Полежаевская,4.0,3,Sezar Group,«Династия»,Бизнес,квартира,18.0,24.0,Без отделки,1.0,54.9,15.6,21.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,28712700,523000.0
 СЗАО,Стрешнево,11.0,2,Мангазея,«Интонация»,Бизнес,квартира,5.0,21.0,Без отделки,2.0,74.0,31.5,14.3,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,29019840,392160.0
 ЮЗАО,Воронцовская,6.0,3,TEKTA GROUP,«Ever (Эвер)»,Бизнес,квартира,6.0,34.0,Предчистовая,3.0,64.9,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,29211490,450099.99999999994
 СЗАО,Мнёвники,4.0,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,3.0,22.0,Без отделки,2.0,56.2,26.5,12.4,Монолитный,"Подземная, гостевая",2025.0,29077880,517400.0
 СЗАО,Полежаевская,3.0,3,ГК МИЦ,«Вереск»,Бизнес,квартира,18.0,21.0,Без отделки,3.0,82.3,46.6,17.6,Монолитный,"Подземная, гостевая",2023.0,29049945,352976.2454434994
 ЮВАО,Дубровка,4.0,3,MR Group,«Метрополия»,Бизнес,квартира,15.0,30.0,Предчистовая,3.0,82.3,41.1,22.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2022.0,29377780,356959.659781288
 СЗАО,Карамышевская,2.0,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,11.0,28.0,Без отделки,3.0,91.4,20.333629300776895,17.0,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,29613600,324000.0
 СЗАО,Полежаевская,4.0,3,ГК ФСК,«Sydney City (Сидней Сити)»,Бизнес,квартира,15.0,24.0,Предчистовая,2.0,52.7,29.8,11.9,"Монолитно-кирпичный, монолитный","Подземная, отдельная многоуровневая, гостевая",2023.0,30207640,573200.0
 САО,Ховрино,6.0,3,,«Фестиваль парк-2»,,апартаменты,16.0,35.0,Предчистовая,2.0,69.4,42.8,6.2,,,2023.0,30200173,435160.9942363112
 СЗАО,Тестовская,4.0,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,3.0,6.0,Без отделки,3.0,84.2,29.8,32.9,"Монолитно-кирпичный, монолитный",Подземная,2023.0,30275679,359568.6342042755
 СЗАО,Стрешнево,11.0,2,Мангазея,«Интонация»,Бизнес,квартира,10.0,21.0,Без отделки,2.0,73.3,32.6,16.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,30636468,417960.0
 СВАО,Марьина роща,17.0,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,4.0,22.0,Без отделки,3.0,73.0,20.333629300776895,11.724697336561748,Монолитный,Подземная,2025.0,30707815,420655.0
 ЦАО,Краснопресненская,3.0,3,Forma,«Republic (Репаблик)»,Премиум,квартира,21.0,33.0,Без отделки,2.0,46.58,23.6,3.8,Монолитный,"Подземная, гостевая",2025.0,30979938,665090.9832546157
 СЗАО,Хорошёвская,3.0,3,ДОНСТРОЙ,«Сердце Столицы»,Бизнес,квартира,39.0,41.0,Без отделки,2.0,65.8,26.2,15.9,"Монолитно-кирпичный, монолитный, кирпичный","Подземная, гостевая",2024.0,31039505,471725.0
 ЦАО,Шелепиха,13.0,2,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,14.0,51.0,Без отделки,3.0,78.03,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,30821850,395000.0
 СВАО,Бабушкинская,5.0,3,ГК ФСК,«The Lake (Лейк)»,Бизнес,квартира,4.0,16.0,Предчистовая,2.0,67.9,24.2,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2025.0,31315480,461199.99999999994
 СВАО,Рижская,15.0,2,MR Group,«Mod (Мод)»,Премиум,квартира,19.0,55.0,Предчистовая,3.0,87.02,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,32110380,369000.0
 СЗАО,Хорошёвская,3.0,3,ДОНСТРОЙ,«Сердце Столицы»,Бизнес,квартира,40.0,41.0,Без отделки,2.0,68.2,28.8,16.0,"Монолитно-кирпичный, монолитный, кирпичный","Подземная, гостевая",2024.0,32021605,469525.0
 ЮАО,Шаболовская,4.0,3,СЗ Логос,«Logos (Логос)»,Премиум,апартаменты,4.0,13.0,Предчистовая,2.0,65.7,44.2,5.4,Монолитно-кирпичный,Подземная,2024.0,32507836,494792.02435312024
 СВАО,Марьина роща,8.0,2,MR Group,«Mod (Мод)»,Премиум,квартира,33.0,55.0,Предчистовая,3.0,85.92,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,32549417,378833.9967411546
 СЗАО,Стрешнево,9.0,2,Forma,«Moments»,Бизнес,квартира,27.0,30.0,Предчистовая,3.0,82.28,38.8,24.0,Монолитный,"Подземная, гостевая",2025.0,32412724,393931.9883325231
 ЗАО,Раменки,3.0,3,Level Group,«Level Мичуринский»,Бизнес,квартира,23.0,41.0,Без отделки,4.0,94.6,44.8,30.6,Монолитный,"Подземная, гостевая",2025.0,32882979,347600.200845666
 СЗАО,Стрешнево,9.0,2,Forma,«Moments»,Бизнес,квартира,15.0,30.0,Предчистовая,3.0,89.51,43.8,22.8,Монолитный,"Подземная, гостевая",2025.0,32688156,365189.9899452575
 ЗАО,Мичуринский проспект,4.0,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,25.0,27.0,Неизвестно,3.0,79.6,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2022.0,32720000,411055.27638190956
 САО,Полежаевская,4.0,3,Sezar Group,«Династия»,Бизнес,квартира,15.0,24.0,Без отделки,2.0,65.6,33.3,13.7,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,33128000,505000.00000000006
 СВАО,Рижская,3.0,3,СИТИ21,«Hill8 (Хилл8)»,Премиум,апартаменты,15.0,15.0,Неизвестно,2.0,62.8,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2021.0,33204411,528732.6592356688
 САО,Беговая,7.0,3,Э.К. Девелопмент,«Авиатика»,Комфорт,квартира,24.0,25.0,Чистовая,3.0,85.8,20.333629300776895,11.724697336561748,Панельный,Подземная,2022.0,33033000,385000.0
 ЮАО,Автозаводская,4.0,3,Forma,«FORST (Форст)»,Бизнес,квартира,10.0,20.0,Без отделки,2.0,74.32,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,33157050,446138.99354144244
 СЗАО,Карамышевская,2.0,3,ГК ФСК,«Sydney City (Сидней Сити)»,Бизнес,квартира,12.0,20.0,Без отделки,3.0,83.0,44.3,14.3,"Монолитно-кирпичный, монолитный","Подземная, отдельная многоуровневая, гостевая",2024.0,33468920,403240.0
 САО,Селигерская,10.0,3,MR Group,«Селигер Сити»,Бизнес,квартира,34.0,43.0,Предчистовая,3.0,82.5,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,33588850,407137.57575757575
 СЗАО,Стрешнево,11.0,2,Мангазея,«Интонация»,Бизнес,квартира,2.0,21.0,Без отделки,3.0,99.0,56.0,14.8,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,34141140,344860.0
 ЮАО,Борисово,6.0,3,Группа ЛСР,«WAVE (Вейв)»,Бизнес,квартира,44.0,52.0,Неизвестно,3.0,85.3,41.2,29.0,Монолитный,Подземная,2026.0,33967313,398210.0
 ЦАО,Краснопресненская,3.0,3,Forma,«Republic (Репаблик)»,Премиум,квартира,4.0,33.0,Без отделки,2.0,58.53,28.4,4.3,Монолитный,"Подземная, гостевая",2025.0,34547683,590255.9883820263
 СЗАО,Терехово,1.0,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,6.0,22.0,Без отделки,3.0,70.1,25.2,23.6,Монолитный,"Подземная, гостевая",2025.0,34860730,497300.00000000006
 ЮЗАО,Академическая,1.0,3,Level Group,«Level Академическая»,Бизнес,квартира,6.0,19.0,Без отделки,3.0,66.7,28.5,24.6,Монолитный,Гостевая,2025.0,34751347,521009.700149925
 ЮАО,Автозаводская,4.0,3,Forma,«FORST (Форст)»,Бизнес,квартира,3.0,20.0,Без отделки,1.0,38.77,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,16121806,415831.983492391
 СЗАО,Спартак,5.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,7.0,18.0,Черновая,1.0,37.81,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,16730925,442500.0
 ЮАО,Автозаводская,5.0,3,Forma,«FORST (Форст)»,Бизнес,квартира,19.0,20.0,Без отделки,2.0,57.07,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,22714716,398014.99912388297
 СЗАО,Трикотажная,4.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,7.0,26.0,Черновая,2.0,72.0,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,26330500,365701.3888888889
 ЮАО,Автозаводская,2.0,3,Forma,«FORST (Форст)»,Бизнес,квартира,2.0,20.0,Без отделки,2.0,67.45,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,27256545,404100.0
 СЗАО,Трикотажная,5.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2.0,12.0,Черновая,3.0,111.86,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,32149500,287408.3676023601
 ЮАО,Автозаводская,5.0,3,Forma,«FORST (Форст)»,Бизнес,квартира,8.0,20.0,Без отделки,3.0,90.8,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,32259514,355280.9911894273
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5.0,3,ПИК,«Бунинские луга»,Комфорт,квартира,17.0,17.0,Чистовая,2.0,40.1,24.8,5.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,9922745,247450.0
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,10.0,20.0,Без отделки,1.0,33.6,10.8,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,8114319,241497.5892857143
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,20.0,20.0,Без отделки,1.0,37.8,9.4,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,8184411,216518.80952380953
 СВАО,Алтуфьево,5.0,3,ПИК,«Полар»,Комфорт,квартира,3.0,32.0,Чистовая,2.0,35.3,21.2,5.1,Монолитный,"Подземная, гостевая",2025.0,8781333,248762.97450424932
 НАО (Новомосковский),Рассказовка,7.0,3,Абсолют Недвижимость,«Город-парк Первый Московский»,Комфорт,квартира,14.0,20.0,Без отделки,1.0,48.5,12.6,11.724697336561748,"Панельный, монолитный",Гостевая,2024.0,9604463,198030.1649484536
 САО,Водный стадион,3.0,3,РГ-Девелопмент,«Михалковский»,Комфорт,Студия,12.0,18.0,Без отделки,1.0,25.5,17.5,11.724697336561748,Монолитный,Подземная,2023.0,9562500,375000.0
 ЮАО,Красный Строитель,5.0,3,ПИК,«Ютаново»,Комфорт,квартира,2.0,33.0,Чистовая,2.0,42.34,27.8,5.5,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,9694462,228966.98157770428
 ЗАО,Юго-Западная,4.0,3,ПИК,«Мичуринский парк»,Комфорт,квартира,9.0,21.0,Предчистовая,1.0,34.7,16.0,11.0,Монолитный,"Подземная, гостевая",2024.0,10713867,308756.9740634005
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,квартира,2.0,33.0,Чистовая,2.0,46.1,21.7,15.3,Монолитный,"Подземная, гостевая",2025.0,12203638,264720.9978308026
 СЗАО,Спартак,5.0,3,ГК ФСК,«Движение.Тушино»,Комфорт,апартаменты,4.0,22.0,Чистовая,3.0,46.1,36.8,3.6,Монолитный,"Подземная, гостевая",2022.0,12522468,271637.04989154014
 ЮАО,Красный Строитель,5.0,3,ПИК,«Ютаново»,Комфорт,квартира,10.0,20.0,Чистовая,2.0,53.69,24.0,17.7,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,12710785,236743.99329484077
 СЗАО,Карамышевская,2.0,3,Концерн КРОСТ,«Crystal (Кристал)»,Бизнес,квартира,4.0,28.0,Без отделки,1.0,36.3,20.333629300776895,13.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2025.0,13104300,361000.0
 ЮВАО,Марьино,3.0,3,Seven Suns Development,«Светлый мир Станция Л»,Комфорт,квартира,14.0,25.0,Чистовая,3.0,73.7,46.5,6.3,Монолитный,Гостевая,2024.0,13605020,184600.0
 СВАО,Ботанический сад,2.0,3,ПИК,«Green park (Грин парк)»,Бизнес,квартира,13.0,14.0,Чистовая,1.0,39.26,11.0,18.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2023.0,14894746,379387.315333673
 ВАО,Измайлово,4.0,3,ПИК,«Амурский парк»,Комфорт,квартира,5.0,28.0,Чистовая,2.0,58.4,22.9,21.5,Монолитный,"Подземная, гостевая",2025.0,15029123,257347.99657534246
 СЗАО,Стрешнево,11.0,2,СЗ ПРОГРЕСС,«Комплекс апартаментов B’aires (Байрес)»,Бизнес,апартаменты,12.0,22.0,Без отделки,3.0,49.53,41.5,3.1,Монолитный,Подземная,2022.0,15089443,304652.59438724007
 САО,Полежаевская,2.0,3,ГК ФСК,«Рихард»,Бизнес,квартира,2.0,12.0,Без отделки,1.0,37.4,14.4,12.7,Монолитный,"Подземная, гостевая",2022.0,15546432,415680.0
 ЮАО,Лесопарковая,6.0,3,Э.К. Девелопмент,«Зеленая Вертикаль»,Комфорт,квартира,22.0,26.0,Предчистовая,2.0,59.3,20.333629300776895,11.724697336561748,Панельный,Отдельная многоуровневая,2023.0,15951700,269000.0
 ЮВАО,Братиславская,2.0,3,ПИК,«Люблинский парк»,Комфорт,квартира,16.0,17.0,Чистовая,3.0,73.3,37.0,22.8,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2025.0,15961514,217755.98908594815
 САО,Полежаевская,2.0,3,ГК ФСК,«Рихард»,Бизнес,квартира,2.0,8.0,Без отделки,1.0,37.7,16.2,9.4,Монолитный,"Подземная, гостевая",2022.0,16778762,445059.99999999994
 ЦАО,Шелепиха,6.0,2,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,15.0,32.0,Без отделки,1.0,29.93,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2019.0,17500000,584697.6277981958
 ЮВАО,Дубровка,4.0,3,MR Group,«Метрополия»,Бизнес,квартира,30.0,30.0,Предчистовая,2.0,61.9,24.0,23.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,19273976,311372.79483037157
 САО,Зорге,13.0,3,St Michael,«Зорге 9»,Бизнес,апартаменты,18.0,21.0,Черновая,1.0,37.75,11.9,15.7,Монолитно-кирпичный,"Подземная, гостевая",2023.0,19716320,522286.6225165563
 ЗАО,Спартак,5.0,3,СЗ Универсаль,«Клубный дом Рублево»,Премиум,апартаменты,9.0,9.0,Без отделки,3.0,64.7,41.3,18.4,Монолитный,Подземная,2023.0,19814375,306250.0
 СЗАО,Трикотажная,6.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,23.0,25.0,Черновая,1.0,43.07,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,19868191,461300.0
 САО,Зорге,13.0,3,St Michael,«Зорге 9»,Бизнес,апартаменты,19.0,21.0,Черновая,1.0,37.13,11.5,17.4,Монолитно-кирпичный,"Подземная, гостевая",2023.0,20069680,540524.6431457043
 ЦАО,Шелепиха,5.0,3,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,23.0,41.0,Без отделки,1.0,40.99,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,20044110,489000.0
 ЗАО,Рабочий посёлок,5.0,3,ПИК,«Академика Павлова»,Комфорт,квартира,2.0,33.0,Чистовая,3.0,62.7,34.4,12.3,Монолитный,Подземная,2024.0,23942913,381864.64114832535
 СЗАО,Сходненская,3.0,3,ГК ФСК,«Sky Garden (Скай Гарден)»,Бизнес,квартира,18.0,43.0,Чистовая,3.0,87.2,51.2,10.3,Монолитный,"Подземная, гостевая",2025.0,24119302,276597.5
 ЦАО,Октябрьская,1.0,3,GRAVION,«CULT (Апартаменты премиум-класса) (Культ)»,Премиум,Апартаменты-студия,2.0,9.0,Чистовая,2.0,26.86,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2023.0,27988121,1042000.037230082
 ЗАО,Рабочий посёлок,5.0,3,ПИК,«Академика Павлова»,Комфорт,квартира,3.0,33.0,Чистовая,3.0,78.5,34.5,27.1,Монолитный,Подземная,2024.0,29557629,376530.3057324841
 ЗАО,Рабочий посёлок,5.0,3,ПИК,«Академика Павлова»,Комфорт,квартира,14.0,33.0,Чистовая,3.0,89.3,41.1,31.5,Монолитный,Подземная,2024.0,31196620,349346.248600224
 САО,Полежаевская,2.0,3,ГК ФСК,«Рихард»,Бизнес,квартира,26.0,26.0,Без отделки,3.0,92.9,29.9,22.1,Монолитный,"Подземная, гостевая",2022.0,34882092,375480.0
 НАО (Новомосковский),Филатов Луг,5.0,3,ПИК,«Саларьево парк»,Комфорт,Студия,13.0,14.0,Чистовая,1.0,23.7,11.6,6.0,Монолитный,"Подземная, гостевая",2025.0,6913005,291687.9746835443
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5.0,3,ПИК,«Бунинские луга»,Комфорт,квартира,15.0,17.0,Чистовая,2.0,32.5,19.8,5.6,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,8462285,260378.0
 НАО (Новомосковский),Бунинская аллея,5.0,3,ПИК,«Бунинские луга»,Комфорт,квартира,6.0,17.0,Чистовая,3.0,79.0,40.8,23.1,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,16668131,210989.0
 САО,Лианозово,5.0,3,ПИК,«Бусиновский парк»,Комфорт,квартира,31.0,33.0,Чистовая,1.0,32.6,9.4,16.2,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,8440530,258911.96319018403
 НАО (Новомосковский),Ольховая,17.0,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,Студия,4.0,13.0,Без отделки,1.0,24.9,14.9,3.4,Монолитно-кирпичный,"Подземная, гостевая",2023.0,8815400,354032.12851405627
 САО,Бескудниково,6.0,3,ПИК,«Бусиновский парк»,Комфорт,квартира,27.0,33.0,Чистовая,1.0,36.5,11.2,17.3,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,9355679,256319.97260273973
 НАО (Новомосковский),Ольховая,17.0,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,квартира,12.0,13.0,Без отделки,2.0,37.94,17.7,6.1,Монолитно-кирпичный,"Подземная, гостевая",2023.0,11695820,308271.48128624144
 ЮАО,Автозаводская,4.0,3,Forma,«FORST (Форст)»,Бизнес,Студия,4.0,20.0,Без отделки,1.0,27.73,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2024.0,12928114,466213.99206635414
 ЮВАО,Волгоградский проспект,4.0,3,MR Group,«Метрополия»,Бизнес,апартаменты,4.0,30.0,Предчистовая,2.0,53.3,24.5,17.7,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,13388831,251197.57973733585
 ЮЗАО,Академическая,1.0,3,Level Group,«Level Академическая»,Бизнес,Студия,15.0,19.0,Без отделки,1.0,17.9,9.7,1.9,Монолитный,Гостевая,2025.0,13596306,759570.1675977655
 НАО (Новомосковский),Филатов Луг,5.0,3,А101,«Прокшино»,Бизнес,квартира,7.0,16.0,Без отделки,4.0,64.3,33.5,17.8,Монолитный,"Подземная, гостевая",2024.0,13788203,214435.50544323484
 НАО (Новомосковский),Бульвар Адмирала Ушакова,5.0,3,ПИК,«Бунинские луга»,Комфорт,квартира,4.0,9.0,Чистовая,2.0,57.3,24.0,21.0,"Панельный, монолитный","Отдельная многоуровневая, гостевая",2024.0,14404589,251388.98778359513
 ЮАО,Серпуховская,16.0,3,MR Group,«Павелецкая сити»,Бизнес,Студия,18.0,27.0,Предчистовая,1.0,23.7,3.4,15.3,Монолитный,"Подземная, гостевая",2024.0,14587232,615495.0210970464
 СЗАО,Полежаевская,3.0,3,ГК МИЦ,«Вереск»,Бизнес,квартира,2.0,21.0,Без отделки,1.0,43.2,14.4,16.3,Монолитный,"Подземная, гостевая",2023.0,14852970,343818.75
 НАО (Новомосковский),Саларьево,6.0,3,А101,«Испанские кварталы»,Комфорт,квартира,2.0,9.0,Чистовая,4.0,65.6,31.6,21.0,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2023.0,15576580,237447.86585365856
 НАО (Новомосковский),Ольховая,17.0,3,Группа Родина,«Russian Design District (Рашен Дизайн Дистрикт)»,Бизнес,квартира,3.0,13.0,Без отделки,2.0,63.19,34.4,14.6,Монолитно-кирпичный,"Подземная, гостевая",2023.0,15744740,249165.05776230418
 ЦАО,Электрозаводская,15.0,2,Level Group,«Level Бауманская»,Бизнес,квартира,3.0,17.0,Без отделки,1.0,36.1,16.8,9.8,Монолитный,Подземная,2025.0,16165671,447802.52077562327
 ЦАО,Электрозаводская,15.0,2,Level Group,«Level Бауманская»,Бизнес,квартира,3.0,17.0,Без отделки,2.0,39.8,12.0,18.0,Монолитный,Подземная,2025.0,17981763,451803.0904522613
 ЮЗАО,Новоясеневская,5.0,3,,«LES (Лес)»,,апартаменты,4.0,14.0,Предчистовая,2.0,69.26,20.333629300776895,11.724697336561748,,,2023.0,18350000,264943.69044181344
 ЮАО,Серпуховская,16.0,3,MR Group,«Павелецкая сити»,Бизнес,квартира,2.0,27.0,Предчистовая,1.0,39.4,12.0,15.1,Монолитный,"Подземная, гостевая",2024.0,20045815,508777.0304568528
 ЗАО,Мичуринский проспект,4.0,3,ПИК,«Матвеевский парк»,Комфорт,квартира,26.0,34.0,Чистовая,4.0,73.8,51.2,6.9,Монолитный,"Подземная, гостевая",2024.0,20227137,274080.44715447153
 САО,Зорге,13.0,3,St Michael,«Зорге 9»,Бизнес,апартаменты,7.0,21.0,Черновая,3.0,68.49,34.7,15.7,Монолитно-кирпичный,"Подземная, гостевая",2023.0,24143280,352508.10337275517
 САО,Зорге,13.0,3,ГК ФСК,«Рихард»,Бизнес,квартира,14.0,27.0,Без отделки,3.0,66.4,41.9,8.7,Монолитный,"Подземная, гостевая",2022.0,27871002,419744.00602409634
 ЮЗАО,Воронцовская,6.0,3,TEKTA GROUP,«Ever (Эвер)»,Бизнес,квартира,25.0,34.0,Предчистовая,3.0,70.3,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,31114780,442600.0
 ЗАО,Мичуринский проспект,4.0,2,ПИК,«Большая Очаковская 2»,Комфорт,квартира,31.0,32.0,Чистовая,4.0,108.2,56.9,21.8,Монолитный,"Подземная, гостевая",2022.0,31742442,293368.22550831793
 ЦАО,Павелецкая,4.0,3,ГК МИЦ,«Сити-комплекс Амарант»,Бизнес,апартаменты,6.0,10.0,Без отделки,2.0,71.1,30.0,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,32386917,455512.19409282703
 САО,Полежаевская,2.0,3,ГК ФСК,«Рихард»,Бизнес,квартира,16.0,26.0,Без отделки,3.0,74.7,43.1,12.9,Монолитный,"Подземная, гостевая",2022.0,33264396,445306.5060240964
 НАО (Новомосковский),Филатов Луг,13.0,3,ПИК,«Середневский лес»,Комфорт,Студия,3.0,9.0,Чистовая,1.0,27.43,13.2,7.1,Панельный,Гостевая,2025.0,5792969,211190.9952606635
 САО,Окружная,12.0,3,ПИК,«Большая Академическая 85»,Комфорт,Студия,20.0,21.0,Чистовая,1.0,23.3,11.1,6.0,Панельный,"Отдельная многоуровневая, гостевая",2023.0,8725850,374500.0
 САО,Бескудниково,6.0,3,ПИК,«Бусиновский парк»,Комфорт,квартира,33.0,33.0,Чистовая,1.0,32.6,9.5,16.1,Монолитный,"Подземная, отдельная многоуровневая, гостевая",2024.0,8753490,268511.96319018403
 СВАО,Отрадное,6.0,3,ПИК,«Алтуфьевское 53»,Комфорт,квартира,27.0,33.0,Чистовая,2.0,34.4,21.0,5.2,Монолитный,"Подземная, гостевая",2025.0,8932682,259670.98837209304
