Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 ЦАО,Шелепиха,3.0,3,КОРТРОС,«Headliner (Хедлайнер)»,Бизнес,квартира,4.0,14.0,Без отделки,3.0,75.47,39.2,17.6,Монолитно-кирпичный,"Подземная, гостевая",2024.0,30565350,405000.0
 ЮЗАО,Академическая,1.0,3,Level Group,«Level Академическая»,Бизнес,квартира,6.0,19.0,Без отделки,3.0,71.0,30.1,21.3,Монолитный,Гостевая,2025.0,34213157,481875.45070422534
 ЮВАО,Дубровка,3.0,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,35.0,69.0,Без отделки,3.0,56.4,41.9,4.8,Монолитный,Подземная,2025.0,16963461,300770.58510638296
 ЮВАО,Угрешская,4.0,3,Колди (Coldy),«N’ice Loft»,Бизнес,апартаменты,6.0,21.0,Без отделки,3.0,66.59,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2024.0,22786898,342196.9965460279
 ЮАО,Пролетарская,4.0,3,TEKTA GROUP,«Era (Эра)»,Премиум,квартира,2.0,32.0,Без отделки,3.0,59.6,20.333629300776895,11.724697336561748,Монолитный,Подземная,2026.0,23851920,400200.0
 ЗАО,Кунцевская,5.0,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,5.0,9.0,Неизвестно,4.0,84.2,48.7,10.0,Монолитный,"Подземная, гостевая",2022.0,23997000,285000.0
 СЗАО,Панфиловская,4.0,3,РГ-Девелопмент,«Октябрьское поле»,Комфорт,квартира,18.0,25.0,Чистовая,3.0,79.0,40.5,12.2,"Панельный, монолитный","Подземная, гостевая",2023.0,25122000,318000.0
 САО,Водный стадион,3.0,3,РГ-Девелопмент,«Михалковский»,Комфорт,квартира,18.0,20.0,Без отделки,3.0,85.4,42.6,19.1,Монолитный,Подземная,2024.0,25620000,300000.0
 ЮЗАО,Воронцовская,6.0,3,TEKTA GROUP,«Ever (Эвер)»,Бизнес,квартира,30.0,34.0,Без отделки,3.0,77.5,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,26722000,344800.0
 ЮАО,Пролетарская,4.0,3,Компания Пионер,"«HIGH LIFE Летниковская, 11 (Хай Лайф)»",Премиум,квартира,16.0,24.0,Неизвестно,1.0,50.2,20.333629300776895,11.724697336561748,Монолитный,Подземная,2025.0,33159459,660546.9920318725
 НАО (Новомосковский),Ольховая,10.0,3,Новые Ватутинки,«Новые Ватутинки. Заречный»,Комфорт,квартира,7.0,9.0,Без отделки,4.0,86.6,73.3,11.724697336561748,Монолитный,"Подземная, гостевая",2025.0,17172780,198300.0
 ВАО,Преображенская площадь,6.0,3,,«Апартаменты Берег Яузы»,,апартаменты,3.0,4.0,Чистовая,3.0,86.2,20.333629300776895,11.724697336561748,,,2022.0,23274000,270000.0
 ЗАО,Мичуринский проспект,4.0,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,16.0,27.0,Неизвестно,2.0,77.0,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2022.0,25800000,335064.93506493507
 ЮАО,Коломенская,4.0,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,3.0,19.0,Без отделки,4.0,82.8,19.2,9.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,29667654,358305.0
 ЗАО,Мичуринский проспект,14.0,2,ДОНСТРОЙ,«Событие»,Бизнес,квартира,3.0,48.0,Без отделки,2.0,69.0,27.8,19.6,Монолитный,"Подземная, гостевая",2025.0,29623080,429320.0
 ЮЗАО,Академическая,4.0,3,TEKTA GROUP,«Eniteo (Энитео)»,Бизнес,квартира,23.0,42.0,Без отделки,3.0,66.5,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2023.0,30616600,460400.0
 СЗАО,Зорге,4.0,3,Концерн КРОСТ,«Театральный квартал»,Премиум,квартира,5.0,19.0,Без отделки,3.0,82.9,43.6,14.8,Монолитный,"Подземная, гостевая",2024.0,32911300,397000.0
 СВАО,Балтийская,14.0,2,ГК Основа,«VERY (Вери)»,Бизнес,квартира,7.0,31.0,Черновая,4.0,90.94,71.6,14.4,Монолитно-кирпичный,"Подземная, гостевая",2024.0,33920620,373000.0
 ЗАО,,5.0,0,Sezar Group,«Клубный дом Full House»,Бизнес,квартира,2.0,25.0,Без отделки,2.0,79.5,42.3,17.3,Монолитно-кирпичный,"Подземная, гостевая",2024.0,34344000,432000.0
